datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4
2006/12/16,1209.176,34.922,93552.53,5180.8,0,546,4926,14680.934
2006/12/17,3390.46,226.006,345725.3,14398.6,2033,4187,13341,36946.668
2006/12/18,2203.826,161.792,347373.62,9247.2,1063,2621,14018,19028.434
2006/12/19,1666.194,150.942,348479,7094,839,7602,6197,13131.9
2006/12/20,2225.748,160.998,348923.62,9313,0,2648,14063,20384.8
2006/12/21,1716.624,144.166,346616.3,7238.6,1765,2623,10421,13801.4
2006/12/22,2341.338,186.906,347305.75,9897,3151,350,11131,24390.3
2006/12/23,4773.386,221.47,345795.94,20200.4,2669,425,14726,61736.434
2006/12/24,2550.012,149.9,348029.9,11002.2,1703,5082,6891,28824.2
2006/12/25,2743.12,240.28,350495.9,11450.2,6620,1962,5795,31341.666
2006/12/26,3934.11,165.102,347940.62,16341,1086,2533,14979,46970.5
2006/12/27,1528.76,178.90201,351025,6505.2,0,314,6976,18189.334
2006/12/28,2072.638,208.876,350306.4,8764.2,2207,4419,9176,18741.967
2006/12/29,3174.392,196.394,346854.7,13350.8,1252,5162,11329,35163.535
2006/12/30,2789.302,311.928,345897.5,11924.2,3072,7891,12480,23045.367
2006/12/31,3494.196,150.852,345451.06,14687.4,0,347,6502,51387.6
2007/1/1,2749.004,148.166,345785.72,11400.4,0,352,5880,39584.734
2007/1/2,1269.236,190.342,348399.03,5348.2,0,348,6562,14243.934
2007/1/3,1014.054,196.728,350722.22,4340.2,0,344,4765,11791.9
2007/1/4,3259.412,202.302,345240.44,13648.6,1051,7597,10896,34779.535
2007/1/5,2713.364,173.154,346313.9,11354.6,1483,379,7602,35758.734
2007/1/6,1508.378,192.188,345129.2,6543.2,1336,402,5678,17723.633
2007/1/7,2447.62,246.074,346899.6,10487,1987,8177,12810,17819.666
2007/1/8,2241.36,207.568,344990.8,9434.4,0,467,17547,19342
2007/1/9,1869.054,207.248,346302.03,7950.4,1688,4267,9790,15405.9
2007/1/10,2154.8,228.452,347079.53,9155.2,771,4456,11012,19674.334
2007/1/11,2255.194,230.02,347264.2,9588,1378,2170,12415,21623.566
2007/1/12,1461.296,199.14,347815.03,6205.2,0,439,8276,15639.934
2007/1/13,3186.814,290.736,344568.4,13612.4,7806,2975,11341,30991.566
2007/1/14,3007.816,227.12,343664.62,12905.4,1777,4215,12975,31163.268
2007/1/15,2148.678,174.86,347386.9,9016.6,1099,2239,15163,17310.3
2007/1/16,1686.404,185.428,348400.44,7165.4,2063,644,6583,18816.732
2007/1/17,2847.688,200.752,347047.56,11928.8,3500,5737,16064,22160.467
2007/1/18,1821.462,177.712,346886.78,7693.2,0,336,13491,16530.7
2007/1/19,1480.44,170.052,345831.75,6301.8,2103,330,7172,15069
2007/1/20,3133.732,238.362,343969.16,13461.2,4324,5222,11440,31242.867
2007/1/21,3407.262,229.73601,344114.1,14674.6,10346,5567,11599,29275.7
2007/1/22,2180.494,168.642,347908.5,9151.6,1054,2983,11361,20943.566
2007/1/23,1777.64,138.28,349578.1,7575.6,0,1064,5061,23502.334
2007/1/24,2987.854,178.06,347699.1,12576.4,3464,2480,11744,32109.566
2007/1/25,1596.344,144.16,350531.1,6666.2,1158,262,11239,13946.733
2007/1/26,1617.972,142.902,349591.38,6798.8,1163,261,8238,17304.2
2007/1/27,2044.072,148.242,347927.88,8567.8,1170,3896,12374,16627.867
2007/1/28,3090.204,153.352,345798.6,13143.4,3466,3997,12045,31995.4
2007/1/29,1982.664,165.696,346938.62,8336,1123,294,15254,16373.4
2007/1/30,1707.798,180.934,348250.88,7240.6,1123,1424,8149,17767.3
2007/1/31,2363.752,185.988,345486.44,9970,0,5950,15052,18393.867
2007/2/1,1824.76,150.264,346164.7,7678.8,1170,386,13145,15711.667
2007/2/2,1667.736,139.542,346081.53,7014,0,356,11338,16101.6
2007/2/3,4029.722,245.824,344030.7,17015,4746,4573,17834,40009.035
2007/2/4,3595.94,186.494,345072,15214.2,3391,4597,14472,37472.332
2007/2/5,1645.28,147.228,346766.84,6941.4,896,2564,7849,16112.333
2007/2/6,1273.48,142.566,347420.38,5431.6,1185,405,4517,15117.667
2007/2/7,2328.018,177.70801,347255.56,9780,3299,3513,11986,20002.3
2007/2/8,1801.4141,138.896,348188.12,7557.6,2226,366,10157,17274.566
2007/2/9,1620.198,158.066,348106.25,6807.2,0,3045,9770,14188.3
2007/2/10,2829.328,192.974,345653.03,11957.4,5071,2831,14405,24848.467
2007/2/11,3571.228,204.314,344888.84,15158.6,2430,4765,13114,39211.465
2007/2/12,1877.61,136.704,345741.84,7925,2227,399,11517,17150.5
2007/2/13,1414.546,134.678,347280.28,5967,0,2828,6256,14491.767
2007/2/14,2498.672,202.506,346140.56,10533.8,3295,3793,11579,22977.533
2007/2/15,1985.346,165.964,346563.7,8381.2,0,2363,14028,16698.1
2007/2/16,1702.528,151.686,346782.16,7267,1148,859,8689,17679.467
2007/2/17,2076.912,238.968,344615.1,8826,1765,2226,7157,23467.2
